BookAbbrev	Chapter:Verse	Annotation	Source
Jb	30:1	Men scarce fit to haue care of dogs deri- ded Iob in his affliction:so he was contemned of the most contemptible.	scan-pdf
Jb	30:10	Our Sauiour also suffered this reproch, Mar.25.	scan-pdf
Jb	30:23	Death is a comfort to a iust man in tri- bulation.	scan-pdf
Jb	30:29	Like to such beasts as seeke solitary places to lament in.	scan-pdf
Jb	31:1	Whereas here is a continuall warre betweene a chast mind and rebellious flesh, holy Iob made this con- dicion of truce betweene these enemies: that his eye should neuer giue oc- casion to car- nal concupis- cence.	scan-pdf
Jb	31:26	By this de- mand he pro- uoked his ad- uersaries to produce what they could to conuince him of idolatrie or denying God, wherwith they indirectly charged him.	scan-pdf
Jb	31:35	Iob dispu- ted no more with his freinds but afterward submitted him- self to God, ac- knowledging some vnadui- sed speach.	scan-pdf
Jb	31:40	The words of Iob are ended.	scan-pdf
Jb	32:1	The ninth conflict. This yong man wittie & learned, but proud withal, was a figure of the bore and arrogans dif- puters, who wil seeme to know more then their elders. S. Greg.l.23.c.1.	scan-pdf
Jb	32:12	A notorious arrogancie to hold himselfe wiser then any man, either of his owne sect, or of his ad- uersaries.	scan-pdf
Jb	32:15	Those that neither credite Catholike Doctours, nor yet relie vpon their owne el- ders, but euery one vpon his owne priuate spirit, denie that to per- teyne to them which is spo- ken to others in the same er- rours. S.Greg.l. 23 c. 8.	scan-pdf
Jb	33:7	Arrogant men imagine their owne conceits and vterance to be more merue- lous then other mens, not knowing how foolish their owne pride is. S. Greg. li. 23. 6.	scan-pdf
Jb	34:5	Iob said no that God iudged wrongfully or wrongfully iudged, but God hath taken away my iudgement, cha. 27. to that is, deferred to indga my cause.	scan-pdf
Jb	34:9	Neither did Iob say this c. v.v. 11.) but Eliu wrested his meaning, that he might haue something to reprehend. S.Greg. li. 14. c. 15.	scan-pdf
Jb	34:30	Eliu applieth this to Iob, as though he had made false shew of vertue which he had not, and that God had suffered him hitherto to reigne, or rather to tyrannize for iust punishment of his peoples sinnes. But God at last declared that Iob was not such a one, ch. 42. v.7.	scan-pdf
Jb	35:2	Eliu insisteth much in this calumniation: for Iob neuer said, that he was iust compared with God, nor iuster then God. But that his affliction was greater then his sinne. cha v. v. 3. c. 23. v. 7. &c.	scan-pdf
Jb	35:5	These are strong sentences (faith S. Gregorie) but they agree not (or be euil applied) to the blessed person of Iob. li.16.	scan-pdf
Jb	36:4	No oratour is so vaine but he promiseth al truth, & speaketh some to get creditewith his auditorie.	scan-pdf
Jb	36:7	If Kings reigne wel their praise remaineth for euer. v. 11.	scan-pdf
Jb	36:11	The night is drawne long, when tentations are not speedily resisted.	scan-pdf
