BookAbbrev	Chapter:Verse	Annotation	Source
1Mc	6:43	S. Ambrose highly commendeth the fortitude of this souldiar, putting himself in so present danger of death, fighting for religion.	scan-pdf
1Mc	7:5	This vsurper with his complices deuised false accusations against Iudas and the rest, to incense the King against them.	scan-pdf
1Mc	7:13	Among the Scribes the Assideans were first consulted, being as learned as the Pharisies, or anie other, and indeed more sincerely religious.	scan-pdf
1Mc	7:26	This Nicanor was the most terrible enimie against Iudas, but was at last slaine by him.	scan-pdf
1Mc	8:1	Of the renowmed actes of the Romanes, other Historiographers haue also written largely: especially Liuius, Diodorus, Iustinus, Florus, Varro, Plutarchus, and manie others.	scan-pdf
1Mc	8:5	Polybius li. 5 writeth that Antiochus had 102 elephants in his warre against Ptolomeus, & therefore it is not to be merueled that he had 110 against the Romans.	scan-pdf
1Mc	8:16	Though Rome was then gouerned by two consuls: Yet one only ruled euerie day in their course, not both in one day.	scan-pdf
1Mc	9:1	This happened about a yeare after the death of Nicanor.	scan-pdf
1Mc	9:6	Strongest men are not free from first motions of perturbation, but reflecting vpon their owne infirmitie, & confiding in Gods prouidence, take courage in a good cause, being assured either of temporal victorie, or of eternal glorie.	scan-pdf
1Mc	9:15	The mightie may fal in the fight of men, but Iudas his fortitude proued & confirmed by former heroical acts, with prosperous successe, was now perfectly consummate by this most glorious end.	scan-pdf
1Mc	9:38	To reuenge or punish faultes in due measure, & other right circumstances, is a special vertue, moderating mans defence of his person, honour, or right, without crueltie, or remisnes.	scan-pdf
1Mc	9:69	Euil counsel how soeuer it happeneth to them that follow it, is euer hurtful to them that giue it.	scan-pdf
Is	24:5	Neer the end of the world, manie forgetting the law of God, & nature, wil rage in extreme furie against others, persecuting & murthering one another, specially the wicked afflicting the good: which our Saviour describeth Mat. 24.	scan-pdf
Is	25:1	The Prophet and faithful people confessing Gods benefites, and perfect performance of whatsoever he promiseth, or determineth, conforting their desires to his pleasure, say Amen, as well in prosperitie as in adversities.	scan-pdf
Is	25:6	After the rejection of the Iewes the Gentiles shal be converted to Christ.	scan-pdf
Is	26:1	In the time of grace given by Christ his whole Church singeth this and other like canticles of praises. Al Christians have one citie, the Catholike Church, signified by Sion, fensed with wal and bulworke, of faith & good workes.	scan-pdf
Is	26:19	A prophecie of the general resurrection of al men. Some in glorie, some in miserie.	scan-pdf
Is	27:1	Tyrants are called serpents for their subtle powerful malice, and barres, because they hold men fast inclosed in bondage. And for the same reasons the divel is called a serpent, and a barre.	scan-pdf
Is	28:1	By Ephraim is understood the kingdom of Israel, whose first King Ieroboam was of that tribe. After that the tenne tribes were carried captives God delivered the two tribes out of imminent danger.	scan-pdf
Is	28:11	Because Isaias & other holie Prophets often & much vrged, not only the people, but also priests to keepe Gods commandments, and to expect his mercie, they scornfully repeate the same words, deriding such exhortations & desperately giuing themselves to al wickednes, as if they neither feared death nor hel.	scan-pdf
Is	28:24	As husbandmen dispose their workes in order: so God sometimes worketh miracles, sometimes giveth benefites, sometimes sendeth afflictions: and greater to some then to others. But none are continually afflicted without intermission.	scan-pdf
Is	29:1	Ariel signifieth the lion of God: So Jerusalem called Ariel is threatened with destruction, which happened first by the Babylonians. Again more miserably by Titus & Vespasian, 40 years after Christs death.	scan-pdf
Is	29:8	Scribes and Pharisees pretending knowledge of Scriptures, can not read Christ in the Prophets, because these Books are sealed and they have not the key.	scan-pdf
Is	29:11	The Gentiles could not read Christ in these Books, because they knew not letters of the holy Scriptures.	scan-pdf
