BookAbbrev	Chapter:Verse	Annotation	Source
1Sam	18:6	When the praises of one import diminishing of an other, he that is proud, as Saul now was, is moued to enuie and malice, more and more as the vertues of the other and his praises doe increase.	scan-pdf
1Sam	21:4	Distinction of common and holie bread. Also an example of dispensation in case of necessitie.	scan-pdf
1Sam	21:13	Dauid most wisely in face of the King of Geth, by diuine inspiration, feigned himself to be a foole. The Holy Ghost sheweth that the seruants of God may doe such things not of feare but of diuine wisdom.	scan-pdf
1Sam	23:9	By this it appeareth that Dauid consulted God by the high Priest: and the high Priest for this purpose ioyned the priestly ornament called Ephod, to the Rationale, and so had reuelation from God. Exo. 28. Leuit. 8.	scan-pdf
1Sam	23:13	Conditionally: If thou tarie here.	scan-pdf
1Sam	24:5	A tender conscience had scruple of a small doubt which was no sinne: a large conscience sticketh at nothing.	scan-pdf
1Sam	24:7	Saul being annointed King by Gods appointment, could not lawfully be slaine by his subiects without like ordinance from God. For though Dauid was also already annointed, yet that was not to reigne presently, but when Saul should die, or otherwise be taken away.	scan-pdf
1Sam	25:17	Not a malicious mind, such as Saul bore vniustly against Dauid, but punishment is decreed against Nabal, for not only denying a reasonable request, but also for reproachful answer.	scan-pdf
1Sam	26:7	Dauid is resolute, and often repeateth, that it is not lawful for priuate subiects to kill their Prince, no although himselfe was annointed to succeed.	scan-pdf
1Sam	27:8	These countries were neither subiect to the Philistiims nor to the Israelites, and were also of those nations whom God had commanded to destroy, dwelling within the land of Chanaan. Deut. 25.	scan-pdf
1Sam	28:14	It is not defined nor certaine, whether the soule of Samuel appeared, or an euil spirit tooke his shape, and spake to Saul. S. Augustine (lib. 2. q. ad Simplician.) proposeth both opinions as probable. He sheweth that Samuels soule might appeare, either brought thither by the euil spirit, or that the spirit of the holy Prophet was not raised by force of the inchantment, but by Gods secrete ordinance. In another worke (de cura pro mortuis gerenda, c. 15.) he sayth expressly, Samuel the Prophet being dead, foretold future things to King Saul yet liuing. This last iudgement is confirmed: first, by the text literally affirming that Samuel appeared; secondly, this apparition came sooner then expected; thirdly, the Authour of Ecclesiasticus (ch. 46.) amongst the praises of Samuel sayth: He slept and certified the King, and shewed to him the end of his life; fourthly, the diuel could not naturally foretel such things; fiftly, most Fathers are of the same iudgement: S. Iustinus Martyr, S. Basil, S. Ambrose, S. Hieronym, Iosephus, and manie other writers.	scan-pdf
1Sam	29:3	He speaketh by amplification, to make his fact seeme more reasonable: whereas the time of Dauids abode with him was but foure months. ch. 27. v. 7.	scan-pdf
1Sam	30:25	It is not against Gods commandment, Deut. 4. and 12. to make new lawes, so they be conformable and not contrarie to Gods former lawes.	scan-pdf
2Sam	1:12	Exequies of Saul obserued with mourning, weeping and fasting.	scan-pdf
2Sam	1:18	The Philistiims were strong and cunning archers, therefore Dauid commanded that his subiects should learne and exercise the same manner of fight.	scan-pdf
2Sam	5:4	They anointed him againe in confirmation of their acknowledging Gods ordinance.	scan-pdf
2Sam	5:7	King Dauid now atchieued that which the tribe of Iuda could not in the time of Iosue.	scan-pdf
2Sam	5:11	Idols that haue eyes and can not see, feete and can not goe, shal not enter into the Church of Christ.	scan-pdf
2Sam	6:7	Either there was no probable danger, and so without cause Oza touched the arke, that he might seeme to be very careful; or els he vsed not so much reuerence as he ought to haue done. 1. de mir. Sac. Scrip. apud S. Aug. tom. 3.	scan-pdf
2Sam	6:16	To dance before the arke is to dance before our Lord.	scan-pdf
2Sam	7:12	The tabernacle made by Moyses was a goodlie thing, but being couered with skinnes and in manie respects insufficient for Gods seruice, Dauid desired to build a glorious Temple. But was not permitted to doe it for mysterie sake, to signifie that Christ the true Salomon should build his Church.	scan-pdf
2Sam	7:13	He that supposeth this great promise to be fulfilled in Salomon, erreth much.	scan-pdf
2Sam	7:14	S. Paul expoundeth this of Christ, Heb. 1. v. 5.	scan-pdf
2Sam	7:15	This can not be said of Christ, but of Solomon, and of any Christian.	scan-pdf
2Sam	7:16	The See Apostolike, and Priestly power in the Church of Christ, is this perpetual Kingdome. S. Epiphanius Heresit. 29.	scan-pdf
2Sam	7:23	Here and in manie other places the Hebrew word is of the plural number, Elohim, Gods, signifying more diuine Persons.	scan-pdf
2Sam	8:2	For more reproch Dauid compelling them with cords, as cattle are enuironed, cast them on the ground, and by lot killed some, and spared some aliue.	scan-pdf
2Sam	10:2	This Naas King of Ammon curteously entertained Dauids friends which escaped from the King of Moab, killing most of them that were commended to him, because Dauid had left his countrie, and was returned into Iuda.	scan-pdf
2Sam	11:4	Theodosius the Emperour pretending to be excused from punishment for his sinnes, because King Dauid also was an adulterer and a manslaver, S. Ambrose replied, saying: Thou that hast followed King Dauid erring, follow him repenting. After which admonition the Emperour most humbly did publike penance; inioyned him by the Bishop.	scan-pdf
2Sam	12:4	Now and then some of thy seed shall be violently slaine: so were slaine three of his owne sonnes, Amnon, chap. 13. Absalom chap. 15. Adonias, 3. Reg. 2. also Iorams sonnes saue one, 2. Par. 21. also Ochozias, Amasias, Iosias, 2. Par. 14. 25. 35. and the sonnes of Sedechias, himselfe hauing his eyes put out and so brought into Babylon. 4. Reg. 25.	scan-pdf
2Sam	16:4	King Dauid was here abused by false information: to which he ought not so easily to haue giuen credite. chap. 19. v. 14.	scan-pdf
2Sam	16:10	God suffered Semei, being of his owne freewil malicious, for punishment of Dauids sinnes, to curse him: but was not the authour of his malice, for so Semei had committed no fault therin, and then he could not lawfully haue been punished for it, as he was 3. Reg. 2.	scan-pdf
2Sam	16:21	The people doubting lest Absalom might be reconciled to his father, were not assured vnto him, til they saw such a crime committed as seemed to make reconciliation impossible. So al rebelles and vsurpers of others right, seeke by some enormious fact to make their adherents and followers sure vnto them: but God plagueth them in the end.	scan-pdf
2Sam	17:23	Bad counsell often falleth worst to the counseller.	scan-pdf
2Sam	18:18	Al his sonnes being dead, for he had once three sonnes and a daughter. chap. 14. v. 27.	scan-pdf
2Sam	19:20	Al the eleuen tribes are called by the name of Ioseph, being chiefe after Iuda. So Semei not of the proper tribe of Ioseph, but of Beniamin, pleading for pardon of his former fault, alleadgeth that he came first of the eleuen tribes, to submitte himselfe and serue the King.	scan-pdf
2Sam	23:1	King Dauid in this last prophecie plainly distinguisheth between the couenant and promise made to him touching his earthlie Kingdome and the Kingdome of Christ, who should be borne of his seed. In both which he foretelleth the reward of the good and punishment of the bad.	scan-pdf
2Sam	24:1	The furie of our Lord, that is Satan (a furious spirite, yet Gods creature) not our Lord himselfe, but by permission only. 1. Par. 21. 1. Satan arose against Israel, and moued Dauid.	scan-pdf
2Sam	24:10	Contrition and Confession.	scan-pdf
2Sam	24:18	Satisfaction.	scan-pdf
1Kings	1:7	For this conspiracie Abiathar was deposed. ch. 2. v. 27.	scan-pdf
1Kings	2:27	Salomon was not only a King but also a Prophet. Moreouer some secular Princes doe nominate spiritual superiours, and install them in their states, yet their iurisdiction is not depending on the Prince, but the Prince to be directed by them.	scan-pdf
1Kings	3:26	So heretikes not being able to proue that their synagogue is the true and permanent Church, would destroy the Catholike and so haue none at al.	scan-pdf
1Kings	4:32	These books are not extant.	scan-pdf
1Kings	6:7	In perfect people is neither noise of murmur in aduersitie, nor of boasting in prosperitie, but patience and humilitie with silence.	scan-pdf
1Kings	6:29	It is a cleer case, that al carued and grauen pictures, or images were not vnlawful, but were religiously made and set in the holie Temple, for the more honour of God.	scan-pdf
1Kings	8:25	Salomon knew wel Gods conditional promise, but perseured not in keeping his commandments, and therfore a great part of the Kingdome was taken from his children, yet the right of the Kingdome of Iuda remained to his seed euen to Christ our Sauiour.	scan-pdf
1Kings	10:1	A wonderful thing, that a Queene vpon fame of a mans wisdome traueled so farre to heare him speake, and to see his gouernment, but it was Gods inspiration to signifie by this figure, that the Church of Christ should be gathered of the Gentiles in al nations. Isai. 49.	scan-pdf
1Kings	11:25	From the time that Salomon fel to idolatrie, he was more impugned by three perpetual aduersaries, Adad, Razon, and Hieroboam; mystically signifying the flesh, the world, and the diuel.	scan-pdf
1Kings	11:31	This fact confirmed his words, that he spake seriously and fained not.	scan-pdf
1Kings	13:7	This man of Bethel was indeed a Prophet of God, but in this lied wickedly, and so deceiuing the other Prophet, made him to breake Gods commandment, for which he was slaine.	scan-pdf
1Kings	14:9	Ieroboam did not wittingly and of purpose set vp false Gods, to the end he might prouoke God to anger; for his intention only was to keep the people from going to Ierusalem, lest by that occasion they should returne to Roboam.	scan-pdf
